Source.Name	Name	Mobile Number	Review Count	Rating	Catagory	Address	Website	Email Id	PlusCode	Closing Hours	latitude	latitude_1	Instagram Profile	Facebook Profile	Linkedin Profile	Twitter Profile	Images Folder
PAWN SHOP ACEH	Pegadaian UPS Gedong	64583154	1 review	5	Pawn shop in Aceh	Jl. Medan - Banda Aceh, Keude Geudong, Kec. Samudera, Kabupaten Aceh Utara, Aceh 24374				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	51160647	972041962	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Ajuen	8126923350	6 reviews	4.5	Pawn shop in Aceh	Ajuen, Peukan Bada, Aceh Besar Regency, Aceh				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	55261179	9.5284737E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Blangkolak	64322745	1 review	5	Pawn shop in Takengon, Aceh	Merah Mersa, Lut Tawar, Central Aceh Regency, Aceh 24519				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	46223246	9.68464402E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian Persero. PT	65122368	1 review	5	Pawn shop in Banda Aceh	Jl. Imam Bonjol No.14, Kp. Baru, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116					5.552114E+016	953140275	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Punge	85239685538	5 reviews	4	Pawn shop in Banda Aceh	Jl. Lintas Sumatra, Punge Jurong, Kec. Meuraxa, Kota Banda Aceh, Aceh 23231				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	55519584	953023934	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Kantor Cabang Pegadaian Banda Aceh	65123472	33 reviews	4.2	Pawn shop in Banda Aceh	Jl. Imam Bonjol No.14, Kp. Baru, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23242				Monday 7.30 am–3.00 pm Tuesday 7.30 am–3.00 pm Wednesday 7.30 am–3.00 pm Thursday 7.30 am–3.00 pm Friday 7.30 am–3.00 pm Saturday 7.30 am–12.30 pm Sunday Closed	55523345	9.53147129E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Lamteumen	81360012339	1 review	5	Pawn shop in Aceh	Jl. Cut Nyak Dhien No.80, Lamteunmeun, Lambaro Kueh, Lhoknga, Aceh Besar Regency, Aceh 23236				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	5480003	952952227	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Lamlagang	81368217111	8 reviews	3.5	Pawn shop in Banda Aceh	Jl. T. Malikul Saleh Lamlagang, Geuceu Kompleks, Banda Raya, Banda Aceh City, Aceh 23239				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	55341662	953105442	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Seutui	81269180160	1 review	4	Pawn shop in Banda Aceh	Jl. Seulawah, Kelurahan Seutui, Kec. Baiturrahman, Seutui, Baiturrahman, Banda Aceh City, Aceh 23614				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	55393135	953108154	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Peunayong	8116171780				H85V+4PQ, Ie Masen Kaye Adang, Syiah Kuala, Banda Aceh City, Aceh 24415				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	55578455	953443712					
PAWN SHOP ACEH	Pegadaian UPS Peunteut	87890739396	2 reviews	3	Pawn shop in Lhokseumawe, Aceh	Jl. Medan - Banda Aceh, Keude Puenteute, Panggoi, Muara Dua, Lhokseumawe City, Aceh 24251				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	5.1918493E+016	971171585	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Lampahan	82166689243	3 reviews	4.3	Pawn shop in Aceh	Jl. Takengon - Bireun KM 74, Timah Gajah, Bujang, Lut Tawar, Central Aceh Regency, Aceh 24519				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	461324	9684671	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Ulee Glee	85273220010	1 review	5	Pawn shop in Aceh	Jl. Medan - Banda Aceh, Desa Muko Khutang, Bandar Dua, Hutan (Bandar Dua), Bandar Dua, Pidie Jaya Regency, Aceh 24251				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	50915766	9.63013432E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Baktiya	64545303	1 review	1	Pawn shop in Lhokseumawe, Aceh	Jl. Medan Banda Aceh, Kedai Baktya, Mns Mesjid, Muara Dua, Lhokseumawe City, Aceh 24351				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	51783299	971246259	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Persero Pegadaian. PT	629522126	3 reviews	2.3	Pawn shop in Kutacane, Aceh	Jl. Iskandar Muda No.15, Kota Kutacane, Kec. Babussalam, Kabupaten Aceh Tenggara, Aceh 24651					3.4835356E+016	978128986	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Beureunuen	81368424138	1 review	5	Pawn shop in Aceh	Jl. Medan - BNA, Sp. Lamlo Mutiara, Jamur Jelatang, Sigli, Aceh Tamiang Regency, Aceh 24352				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	4302796799999999	981229329	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Lueng Putu	85261909663	2 reviews	5	Pawn shop in Aceh	Jl. Medan Banda Aceh, Meunasah Keude, Kec. Bandar Baru, Kabupaten Pidie Jaya, Aceh 24171				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	52558248	96061994	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian Syariah Unit Labuhan Haji Barat		2 reviews	5	Pawn shop in Aceh	Jl. Meulaboh - Tapaktuan, Peulokan, Kec. Labuhan H. Bar., Kabupaten Aceh Selatan, Aceh 23762				Monday 8.00 am–3.30 pm Tuesday 8.00 am–3.30 pm Wednesday 8.00 am–3.30 pm Thursday 8.00 am–3.30 pm Friday 8.00 am–3.30 pm Saturday 8.00 am–12.30 pm Sunday Closed	35761528	9.69752691E+015					
PAWN SHOP ACEH	Pegadaian Puntet	6457553186	2 reviews	1	Pawn shop in Aceh	Punteuet, Sawang, North Aceh Regency, Aceh 24352					5181303	96939962	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian Subulu Salam	61456747	7 reviews	4.6	Pawn shop in Aceh	Jl. T. Umar No. 91, Kel. Subulussalam, Subulussalam, Simpang Kiri, Subulussalam City, Aceh 24782				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	26449927	980165205	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Lampineung	8116171780	1 review	5	Pawn shop in Banda Aceh	H85V+4PQ, Ie Masen Kaye Adang, Syiah Kuala, Banda Aceh City, Aceh 24415				Monday 8.00 am–3.30 pm Tuesday 8.00 am–3.30 pm Wednesday 8.00 am–3.30 pm Thursday 8.00 am–3.30 pm Friday 8.00 am–3.30 pm Saturday 8.00 am–1.00 pm Sunday Closed	5557833200000001	953443726					
PAWN SHOP ACEH	Pegadaian Syariah Unit Calang	82167107546	3 reviews	5	Pawn shop in Aceh	JHMJ+9QQ, Bahagia, Krueng Sabee, Aceh Jaya Regency, Aceh 23655				Monday 8.00 am–3.30 pm Tuesday 8.00 am–3.30 pm Wednesday 8.00 am–3.30 pm Thursday 8.00 am–3.30 pm Friday 8.00 am–3.30 pm Saturday 8.00 am–12.30 pm Sunday Closed	4633464099999999	955819943	https://www.instagram.com/pegadaiansyariahpusat/	https://www.facebook.com/PegadaianSyariahPusat			
PAWN SHOP ACEH	Pegadaian UPS Lhoksukon	85275433320				Jl. Panglateh, Keude Aceh, Kec. Banda Sakti, Kota Lhokseumawe, Aceh 24313				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	51768409	9.71436965E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Samalanga	6447000230	3 reviews	3	Pawn shop in Aceh	Jl. Simpang Matang, Desa Namploh Baro, Kec. Samalanga, Matang, Samalanga, Pidie Jaya Regency, Aceh 24264				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	5182885	963718081	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Rimo	61456747				Jl. Cut Mutia, Gunung Meriah, Rimo, Suka Makmur, Simpang Kiri, Subulussalam City, Aceh 24782				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	26822056	979701846	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Cabang Pegadaian Syariah (CPS)	65321178				Jl. Perdagangan No.5, 24454, Kuta Barat, Sukakarya, Kota Sabang, Aceh 24411					46210629	9.68497396E+015					
PAWN SHOP ACEH	Pegadaian Sigli	65321178				Jl. Perdagangan No.5, Alue Bu Tunong, Sigli, East Aceh Regency, Aceh 24454				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	58911758	953209354	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Meureudu	65351080	1 review	1	Pawn shop in Aceh	Jl. Iskandar Muda No.6, Hutan (Meureudu), Kec. Meureudu, Kabupaten Pidie Jaya, Aceh 24186				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	48583305	978395151	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian Bierueun	6447000230	14 reviews	3.8	Pawn shop in Aceh	JL. Husin Yusuf No.1-A, Simpang Jaya, Kec. Juli, Kabupaten Bireuen, Aceh 24251				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	5041716	976299612	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Langsa Timur	64122954	6 reviews	3.7	Pawn shop in Langsa, Aceh	Jl. H Agus Sallim No.03, Gampong Blang, Langsa Kota, Langsa City, Aceh 24412				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	4.9882841E+016	962800864	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Idi	64621076	3 reviews	3.7	Pawn shop in Aceh	Jl. Iskandar Muda No. 16B, Kel. Gampong Jawa, Idi Rayeuk, Buket Juara, Idi Rayeuk, East Aceh Regency, Aceh 24315				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	44798767	97973561	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian Syariah Meulaboh					546J+CCF, Jl. Sisingamangaraja, Drien Rampak, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23616					55127171	953558893					
PAWN SHOP ACEH	Pegadaian UPS Panton Labu	64591005	2 reviews	3	Pawn shop in Aceh	Jl. Pesantren Malikussaleh No. B/154, Kp. Rawang Itek, Panton Labu, Hutan, Lhokseumawe, North Aceh Regency, Aceh 24394				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	51086446	96663812	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Peukanpidie	65321178	1 review	5	Pawn shop in Aceh	Jl. Gatot, Peuken Pide, Depan Sekolah SD.1, Gampong Baro, Pidie, Pidie Regency, Aceh 24116				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	44691024	979760941	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian UPS Simpang Peut	81360364638	2 reviews	4.5	Pawn shop in Aceh	Jl. Nasional Simpang Peut Kuala, Simpang Peut, Meulaboh, Nagan Raya Regency, Aceh 23661				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	3258189	9.71822889E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian Takengon	64321477	1 review	5	Pawn shop in Takengon, Aceh	Jl. Lebe Kader No.418, Kute Baru, Kec. Linge, Kabupaten Aceh Tengah, Aceh 24515				Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	4963073	977540312	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP ACEH	Pegadaian. PT Persero	65021538	33 reviews	4	Pawn shop in Aceh	F97J+93V, Ameria Bahagia, Simeulue Timur, Simeulue Regency, Aceh 24782				Monday 8.00 am–3.30 pm Tuesday 8.00 am–3.30 pm Wednesday 8.00 am–3.30 pm Thursday 8.00 am–3.30 pm Friday 8.00 am–3.30 pm Saturday 8.00 am–12.30 pm Sunday Closed	41610673	9.61310361E+015	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP BALI	GADAI	8123679999	38 reviews	3.4	Pawn shop in Denpasar, Bali	Jl. Raya Sesetan No.188, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80225				Monday 9.00 am–11.00 pm Tuesday 9.00 am–11.00 pm Wednesday 9.00 am–11.00 pm Thursday 9.00 am–11.00 pm Friday 9.00 am–11.00 pm Saturday 9.00 am–11.00 pm Sunday Closed	-86960648	115218988					
PAWN SHOP BALI	Pegadaian		8 reviews	4.9	Pawn shop in Kuta	Jl. Nakula No.26, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361	https://www.pegadaian.co.id/				-86970882	1.15171512E+016	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP BALI	PEGADAIAN UPC BLOK B TANAH ABANG	2123570429	9 reviews	2.9	Pawn shop in Central Jakarta	Pasar Tanah Abang Blok A Lt. SLG Los F No. 93-95 Jalan H. Fachrudin No.78, 80, 82, RT.8/RW.7, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260	https://www.pegadaian.co.id/			Monday 8.00 am–3.00 pm Tuesday 8.00 am–3.00 pm Wednesday 8.00 am–3.00 pm Thursday 8.00 am–3.00 pm Friday 8.00 am–3.00 pm Saturday 8.00 am–12.00 pm Sunday Closed	-61878937	1.068145118E+016	https://www.instagram.com/pegadaian_id/	https://www.facebook.com/PegadaianPersero			
PAWN SHOP BALI	Pusat Gadai Indonesia, Teuku Umar, Bali	81338432870	87 reviews	3.9	Pawn shop in Denpasar, Bali	Jl. Teuku Umar No.219, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113					-8681147	1.15201275E+016					
PAWN SHOP BALI	GADAI MAS Ubung	3619075327	9 reviews	5	Pawn shop in Denpasar, Bali	Jl. Ahmad Yani Kampung Jawa No.10, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111				Monday 8.00 am–4.00 pm Tuesday 8.00 am–4.00 pm Wednesday 8.00 am–4.00 pm Thursday 8.00 am–4.00 pm Friday 8.00 am–4.00 pm Saturday 8.00 am–1.00 pm Sunday Closed	-86460051	1.152131637E+016					
PAWN SHOP BALI	ms glow gianyar bali	83119943585	16 reviews	4.9	Cosmetics store on Bali	Jl. Gusti Agung Made Gambar No.8, Medahan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581	https://g.page/arbashop				-85722924	1153300282					
PAWN SHOP BALI	Gadai MAS Negara	81128011226	16 reviews	5	Pawn shop in Batuagung, Bali	Jl. Sudirman No.12A, Pendem, Kec. Negara, Kabupaten Jembrana, Bali 82211	https://www.gadaimas.com/			Monday 8.00 am–4.00 pm Tuesday 8.00 am–4.00 pm Wednesday 8.00 am–4.00 pm Thursday 8.00 am–4.00 pm Friday 8.00 am–4.00 pm Saturday 8.00 am–1.00 pm Sunday Closed	-83576144	114626706	https://www.instagram.com/gadai.mas/	https://www.facebook.com/ptgadaimas			
PAWN SHOP BALI	Pusat Gadai Indonesia, Tuban, Bali		31 reviews	2.5	Pawn shop in Kuta	755H+HC7, Tuban, Kuta, Badung Regency, Bali 80361					-87410937	1.151785528E+016					
